episode,return,length
173,155.4225700885494,185
174,161.44766936422977,170
175,166.34097219317053,201
176,157.86461703139355,197
177,163.5169896857057,189
178,164.8486341071576,193
179,158.44577173891193,171
180,164.38923165422239,191
181,158.31193936659594,188
182,161.25541259412125,189
183,164.37013745293297,187
184,167.39402677317847,187
185,159.94259598091173,192
186,163.88175119255123,198
187,161.10869320198972,180
188,158.04209243548837,192
189,160.46291148953648,174
190,167.97698402492878,200
191,155.35989785916811,185
192,163.6827002752849,193
193,156.15734201955996,191
194,143.60016844002774,192
195,159.56795260898514,188
196,163.20876604646978,191
197,162.00823058740193,191
198,159.43037650309344,190
199,157.68681718509563,186
200,167.07111713170733,169
201,150.25757766030804,181
202,163.11861191266982,194
203,165.6157986532702,191
204,163.62473932223068,187
205,155.83625662120573,185
206,157.59200478014458,195
207,158.6824066766267,183
208,163.76218600533082,175
209,167.80472802517485,195
210,161.549045820765,197
211,163.66914035747692,193
212,165.058179350862,188
213,159.15530824512837,190
214,166.20836024043746,193
215,156.3379441030435,181
216,155.99571759029595,195
217,166.70529876690142,170
218,163.28309069174986,183
219,162.24668416564023,180
220,162.89374008725153,198
221,164.07091607470662,194
222,166.24866349907228,176
223,156.20405765832788,186
224,162.73111015643966,169
225,159.6335176333871,194
226,165.57155726195887,170
227,164.02230104630948,188
228,157.09317769977358,171
229,162.47538923219383,190
230,163.7601827729443,198
231,166.86142769541124,169
232,160.6348054552045,182
233,161.63639947314894,183
234,163.43045806967388,170
235,152.17274389706344,171
236,164.03885651939044,199
237,158.16399913253,175
238,162.00969812870824,187
239,162.07502935945308,196
240,160.0233752434978,192
241,157.6395996580999,185
242,156.06716205591275,176
243,160.5174623506081,183
244,162.84872340471622,176
245,165.76438579884996,176
246,164.5862683836635,184
247,160.7024346261587,201
248,156.37260521606507,193
249,158.50510022476521,192
250,158.196430798066,193
251,161.2649815170953,175
252,160.46959333866485,171
253,164.6239513321676,197
254,162.1009155741777,184
255,159.9548456700639,172
256,165.02825591881614,194
257,162.84872399814307,176
258,158.14641769538667,180
259,158.6707926781689,177
260,162.38440201683832,169
261,156.13062152949917,190
262,160.41729626800034,192
263,163.80395881533943,196
264,164.02331475946553,187
265,162.8134106609554,183
266,160.02337903835075,196
267,167.49531981401356,171
268,158.0729023980016,193
269,163.375852959832,189
270,161.54502475859962,196
271,165.18635295096317,180
272,157.93139995241933,170
273,162.76590913165694,188
274,166.41140213445345,172
275,163.04808910231785,169
276,151.37151053757165,174
277,158.50098826485774,169
278,161.5520232171559,186
279,159.01969033078046,170
280,157.2923196719257,184
281,165.6376864049556,191
282,160.9923258555901,183
283,167.47853317715527,169
284,164.51171118061336,186
285,161.11886617809435,189
286,159.63417100701454,187
287,156.66476951438838,179
288,166.58635655720525,198
289,157.90990449191764,173
290,162.0082303088252,188
291,158.08758599299736,193
292,160.76129143903015,169
293,164.06775364063958,172
294,165.84657588789943,169
295,163.6112590730876,192
296,161.77328576448414,172
297,164.6391396604779,181
298,160.97489322208807,188
299,165.35673731664681,169
300,162.73576640514347,177
301,155.28491762789022,179
302,163.5985172406685,187
303,166.84594425388966,170
304,161.49762727316687,179
305,163.16060681336222,189
306,154.17870187348282,188
307,157.68680834000426,187
308,158.17918669958942,195
309,157.8969966248795,179
310,151.32097844410123,172
311,165.75974444584742,169
312,163.98488099828597,193
313,157.12307725240618,169
314,157.56538068960947,186
315,163.73662775224238,189
316,156.17541926251562,183
317,162.16240059169374,185
318,155.5141885124654,189
319,163.06057027390838,169
320,162.1662628379679,170
321,148.73676851478237,170
322,159.41490399637402,169
323,164.7506653960411,187
324,163.00077632612758,174
325,161.12109269093352,185
326,159.08595858522435,197
327,161.10549634554857,175
328,160.27286466817358,184
329,158.03087090231776,169
330,161.7623636716943,169
331,161.05251500614818,169
332,150.9236760941179,171
333,165.85570259281394,190
334,165.2014718421802,200
335,164.75066367662996,193
336,155.88135218604637,194
337,167.2983797197369,170
338,163.43636278405833,170
339,166.49911463224743,190
340,153.07142547886238,169
341,155.23306014740245,189
342,161.32785211206837,197
343,161.5855740247787,191
344,164.81028176055415,169
345,165.7323983047058,204
346,160.93702961982092,197
347,161.47365076974313,184
348,165.18070471692113,195
349,157.30203968216745,183
350,166.40720218217328,188
351,158.95705322509923,179
352,153.79813233694352,169
353,160.7951223326937,194
354,160.82045879542005,178
355,166.87372110898184,170
356,167.659949925577,200
357,164.1940079183407,179
358,162.4040134430782,169
359,166.4634801904906,189
