step,episode,reward
1,0,1.0
2,0,0.4990971896754229
3,0,0.15450421840919507
4,0,0.6794018267907083
5,0,0.7378629966561464
6,0,0.3566221724143437
7,0,0.1460612299753904
8,0,0.0009909236018218143
9,0,0.5000000000000002
10,0,0.7500000000000001
11,0,1.0
12,0,1.0
13,0,1.0
14,0,1.0
15,0,1.0
16,0,0.5575
17,0,0.4425
18,0,1.0
19,0,1.0
20,0,1.0
21,0,1.0
22,0,1.0
23,0,1.0
24,0,1.0
25,0,0.8640586893539007
26,0,0.17208333333333337
27,0,0.4292540446788833
28,0,0.02277777777777779
29,0,0.47722222222222244
30,0,0.7500000000000001
31,0,1.0
32,0,0.7168157022462333
33,0,0.8353970591431955
34,0,0.21699842307141481
35,0,0.15099657990379126
36,0,0.0735954402178578
37,0,1.0
38,0,1.0
39,0,1.0
40,0,1.0
41,0,0.1736111111111111
42,0,0.2941666666666667
43,0,0.0002777777777777778
44,0,6.561162661023707e-07
45,0,1.2452288815069274e-06
46,0,1.0
47,0,0.27194444444444443
48,0,0.7280555555555556
49,0,1.0
50,0,0.3202777777777778
51,0,0.6797222222222222
52,0,1.0
53,0,1.0
54,0,1.0
55,0,1.0
56,0,0.9017944542605674
57,0,0.7544314322479334
58,0,0.006458333333333334
59,0,0.7435416666666668
60,0,1.0
61,0,1.0
62,0,1.0
63,0,1.0
64,0,0.2458628146859928
65,0,0.5123919513331228
66,0,0.8218341462628302
67,0,0.883779923798043
68,0,0.7955617388434765
69,0,1.0
70,0,1.0
71,0,0.4666666666666667
72,0,0.2263888888888889
73,0,0.30694444444444446
74,0,1.0
75,0,1.0
76,0,0.20444444444444446
77,0,0.7955555555555556
78,0,1.0
79,0,1.0
80,0,0.7522222222222222
81,0,0.14916666666666667
82,0,0.09861111111111111
83,0,0.0025
84,0,0.03333333333333333
85,0,0.9641666666666666
86,0,0.22083333333333333
87,0,0.4688888888888889
88,0,0.31027777777777776
89,0,1.0
90,0,1.0
91,0,0.44666666666666666
92,0,0.42833333333333334
93,0,0.125
94,0,1.0
95,0,1.0
96,0,1.0
97,0,1.0
98,0,1.0
99,0,1.0
100,0,0.15329493316323572
101,0,0.07848400198595218
102,0,0.257567846652696
103,0,0.5836520780705472
104,0,0.5858032249723343
105,0,1.0
106,0,1.0
107,0,1.0
108,0,0.9286111111111112
109,0,0.0011111111111111111
110,0,0.07027777777777777
111,0,0.15
112,0,0.85
113,0,1.0
114,0,1.0
115,0,0.25194444444444447
116,0,0.7480555555555556
117,0,1.0
118,0,1.0
119,0,1.0
120,0,1.0
121,0,1.0
122,0,1.0
123,0,1.0
124,0,1.0
125,0,1.0
126,0,1.0
127,0,0.7548015367140618
128,0,0.008541666666666668
129,0,0.33263888888888904
130,0,0.16166666666666674
131,0,0.5000000000000002
132,0,-0.11505833834404244
133,0,0.25788156576389254
134,0,0.14896414718754425
135,0,1.0
136,0,0.6695833333333334
137,0,0.08041666666666668
138,0,0.8450890239322584
139,0,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,0,1.0
146,0,1.0
147,0,1.0
148,0,0.847139632806115
149,0,1.0
150,0,1.0
151,0,0.2838888888888889
152,0,0.1663888888888889
153,0,6.859384480502532e-07
154,0,1.0
155,0,1.0
156,0,1.0
157,0,1.0
158,0,1.0
159,0,0.3737414247883776
160,0,0.004199353718922631
161,0,0.7456378479352946
162,0,0.25010628039357286
163,0,0.2137170120605204
164,0,0.13303198314646977
165,0,0.08125000000000004
166,0,0.6533333333333333
167,0,0.5414583333333335
168,0,0.2085416666666667
169,0,1.0
170,0,1.0
171,0,1.0
172,0,1.0
173,0,1.0
174,0,0.03638888888888889
175,0,0.42694444444444446
176,0,0.5366666666666666
177,0,1.0
178,0,1.0
179,0,1.0
180,0,1.0
181,0,1.0
182,0,1.0
183,0,1.0
184,0,1.0
185,0,1.0
186,0,1.0
187,0,0.56
188,0,0.19000000000000006
189,0,0.12666666666666673
