step,episode,reward
1,0,0.16666666666666666
2,0,0.16666666666666666
3,0,0.16666666666666666
4,0,0.16666666666666666
5,0,0.16666666666666666
6,0,0.16666666666666666
7,0,0.10893374600448916
8,0,0.10893367437984809
9,0,0.1089337563087813
10,0,0.10893377252207682
11,0,0.10893380955569355
12,0,0.10893372364436407
13,0,0.1132337864388466
14,0,0.11323380361117655
15,0,0.11323380153740412
16,0,0.11323381632918551
17,0,0.11323384855315384
18,0,0.1132338477310535
19,0,0.12297721789212702
20,0,0.1229772128977439
21,0,0.12297727605837036
22,0,0.11113812232373345
23,0,0.12297723487205017
24,0,0.10183307676516852
25,0,0.05949323599400503
26,0,0.04114965544516137
27,0,0.04954589342883955
28,0,0.009909236018218569
29,0,0.059455416109325934
30,0,0.059455440478081024
31,0,0.1040876054543622
32,0,0.1427685424997761
33,0,0.14384816609420653
34,0,0.12270833333333336
35,0,0.002291666666666667
36,0,0.11615988928378143
37,0,0.10102573439619503
38,0,0.060416666666666695
39,0,0.022916666666666675
40,0,0.16571490372190162
41,0,0.1538675601568712
42,0,0.15270901890419003
43,0,0.153758667773519
44,0,0.16666666666666666
45,0,0.16666666666666666
46,0,0.16666666666666666
47,0,0.16666666666666666
48,0,0.16666666666666666
49,0,0.16666666666666666
50,0,0.16666666666666666
51,0,0.16666666666666666
52,0,0.16666666666666666
53,0,0.16666666666666666
54,0,0.16666666666666666
55,0,0.16666666666666666
56,0,0.16666666666666666
57,0,0.16666666666666666
58,0,0.16666666666666666
59,0,0.16666666666666666
60,0,0.16666666666666666
61,0,0.16666666666666666
62,0,0.16666666666666666
63,0,0.16666666666666666
64,0,0.16666666666666666
65,0,0.16666666666666666
66,0,0.16666666666666666
67,0,0.16666666666666666
68,0,0.16666666666666666
69,0,0.16666666666666666
70,0,0.16666666666666666
71,0,0.16666666666666666
72,0,0.16666666666666666
73,0,0.16666666666666666
74,0,0.0913888888888889
75,0,0.07527777777777778
76,0,0.16666666666666666
77,0,0.01972222222222222
78,0,0.14694444444444443
79,0,0.16666666666666666
80,0,0.16666666666666666
81,0,0.16666666666666666
82,0,0.16666666666666666
83,0,0.16666666666666666
84,0,0.16666666666666666
85,0,0.16666666666666666
86,0,0.16666666666666666
87,0,0.16666666666666666
88,0,0.16666666666666666
89,0,0.16666666666666666
90,0,0.16666666666666666
91,0,0.16666666666666666
92,0,0.16666666666666666
93,0,0.16666666666666666
94,0,0.16666666666666666
95,0,0.16666666666666666
96,0,0.16666666666666666
97,0,0.16666666666666666
98,0,0.16666666666666666
99,0,0.16666666666666666
100,0,0.16666666666666666
101,0,0.16666666666666666
102,0,0.16666666666666666
103,0,0.16666666666666666
104,0,0.16666666666666666
105,0,0.16666666666666666
106,0,0.16666666666666666
107,0,0.16666666666666666
108,0,0.16666666666666666
109,0,0.16666666666666666
110,0,0.16666666666666666
111,0,0.16666666666666666
112,0,0.16666666666666666
113,0,0.16666666666666666
114,0,0.16666666666666666
115,0,0.16666666666666666
116,0,0.16666666666666666
117,0,0.16666666666666666
118,0,0.16666666666666666
119,0,0.16666666666666666
120,0,0.16666666666666666
